longitude,latitude
8.607222,49.949166
8.651666,49.927499
8.652222,49.927777
8.643888,49.951666
8.628888,49.950555
8.609722,49.929721
8.598888,49.929443
8.633333,49.944166
8.64111,49.951666
8.641388,49.951666
8.568888,49.923888
8.646388,49.915
8.642499,49.915833
8.576388,49.918054
8.631666,49.883054
8.650833,49.896666
8.635833,49.890555
8.601666,49.898333
8.605277,49.883054
8.609722,49.892221
8.646388,49.884166
8.636388,49.880832
8.656388,49.880277
8.679166,49.898055
8.638888,49.879166
8.656388,49.910833
8.670554,49.881943
8.681666,49.903888
8.681666,49.894444
8.649444,49.906666
8.622499,49.896666
8.659444,49.901666
8.660277,49.900555
8.655833,49.887499
8.631666,49.881666
8.660555,49.893055
8.656388,49.911388
8.608888,49.897499
8.654166,49.893055
8.645833,49.884166
8.6575,49.909166
8.619721,49.887777
8.616111,49.879999
8.637221,49.889999
8.613055,49.900555
8.679443,49.908888
8.633888,49.88861
8.650833,49.883333
8.685555,49.896388
8.658888,49.889166
8.64611,49.881666
8.632777,49.88361
8.654166,49.913888
8.653333,49.880277
8.598333,49.890555
8.660833,49.873888
8.580277,49.900555
8.630554,49.874443
8.662777,49.875554
8.578888,49.900555
8.628332,49.878888
8.595555,49.909166
8.644166,49.878888
8.638333,49.874166
8.649166,49.878332
8.588888,49.905555
8.598888,49.897777
8.643055,49.874443
8.649444,49.878888
8.649444,49.875277
8.648888,49.875554
8.656111,49.873888
8.581666,49.909166
8.662222,49.874443
8.656944,49.878332
8.638333,49.877777
8.656388,49.874166
8.795555,49.874166
8.816666,49.884166
8.746388,49.869443
8.746666,49.860555
8.754444,49.858055
8.757777,49.8575
8.756388,49.858888
8.818888,49.880832
8.752777,49.857222
8.761944,49.851388
8.745277,49.865277
8.791388,49.870832
8.633054,49.868054
8.624443,49.870832
8.563888,49.862777
8.622499,49.866943
8.570832,49.855833
8.558055,49.858888
8.631943,49.870554
8.589166,49.863333
8.596944,49.863888
8.564166,49.860833
8.5575,49.870277
8.589166,49.863888
8.629999,49.863055
8.630832,49.847221
8.637221,49.855555
8.624166,49.861666
8.621666,49.844444
8.622499,49.860555
8.554444,49.866943
8.573054,49.855833
8.62611,49.865833
8.628332,49.869721
8.555555,49.859444
8.581666,49.856666
8.633333,49.851388
8.618888,49.845555
8.636388,49.856666
8.556666,49.856666
8.566666,49.860833
8.558055,49.870277
8.592777,49.838055
8.595555,49.835555
8.624999,49.864166
8.630554,49.859444
8.636388,49.816666
8.633888,49.825277
8.565833,49.818332
8.597499,49.802777
8.575832,49.812777
8.616666,49.814166
8.618332,49.815277
8.627777,49.818054
8.625832,49.817221
8.626388,49.817499
8.635277,49.815277
8.637499,49.800555
8.605833,49.804722
8.617777,49.789444
8.555833,49.794999
8.601944,49.794166
8.56,49.793888
8.608611,49.776666
8.605277,49.766943
8.647499,49.773888
8.644721,49.808055
8.668888,49.788888
8.643333,49.809166
8.644721,49.808888
8.648055,49.823888
8.643333,49.824443
8.645833,49.817777
8.684999,49.835833
8.773332,49.905
8.746944,49.923054
8.747499,49.918332
8.745555,49.950555
8.739999,49.945555
8.739721,49.945277
8.644721,49.864166
8.664166,49.866666
8.653333,49.872499
8.654166,49.869166
8.640277,49.871666
8.645555,49.869443
8.651666,49.870554
8.654444,49.866666
8.683888,49.869443
8.667777,49.878054
8.644166,49.871388
8.646388,49.865
8.669999,49.87861
8.658888,49.863888
8.648888,49.868054
8.670832,49.870277
8.661388,49.863055
8.644166,49.863333
8.651944,49.869166
8.661666,49.869166
8.654166,49.871943
8.643055,49.867221
8.659444,49.869166
8.638333,49.864444
8.643888,49.872777
8.642777,49.863055
8.645555,49.869999
8.646666,49.863055
8.655833,49.859444
8.671666,49.856666
8.671666,49.858055
8.673054,49.856944
8.672777,49.858055
8.698055,49.864166
8.642777,49.858611
8.656666,49.859444
8.682221,49.861666
8.643055,49.851666
8.650277,49.852777
8.663333,49.853055
8.654166,49.850277
8.651944,49.854444
8.691666,49.854166
8.64361,49.853055
8.667777,49.853055
8.705,49.833054
8.708333,49.832221
8.703055,49.838055
